timestamp,name,method,confidence,status
2025-11-30 19:03:33,tringuyen,LBPH,74.71,GRANTED
2025-11-30 19:03:34,Unknown,LBPH,119.32,DENIED
2025-11-30 19:03:36,tringuyen,LBPH,81.16,GRANTED
2025-11-30 19:03:37,Unknown,FACENET,1.00,DENIED
2025-11-30 19:03:40,Unknown,FACENET,1.00,DENIED
2025-11-30 19:03:43,Unknown,FACENET,1.00,DENIED
2025-11-30 19:03:47,Unknown,FACENET,1.00,DENIED
2025-11-30 19:03:50,Unknown,FACENET,1.00,DENIED
2025-11-30 19:03:50,tringuyen,LBPH,77.21,GRANTED
2025-11-30 19:03:53,Unknown,LBPH,102.45,DENIED
2025-11-30 19:03:53,tringuyen,LBPH,78.69,GRANTED
2025-11-30 19:03:56,Unknown,LBPH,103.78,DENIED
2025-11-30 19:03:56,tringuyen,LBPH,74.08,GRANTED
2025-11-30 19:03:59,tringuyen,LBPH,77.44,GRANTED
2025-11-30 19:04:02,tringuyen,LBPH,80.07,GRANTED
2025-11-30 19:04:04,Unknown,LBPH,107.51,DENIED
2025-11-30 19:04:05,tringuyen,LBPH,76.67,GRANTED
2025-11-30 19:04:07,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:10,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:13,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:16,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:20,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:23,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:30,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:33,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:36,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:39,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:42,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:00,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:03,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:09,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:23,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:26,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:26,tringuyen,LBPH,78.84,GRANTED
2025-11-30 19:05:36,tringuyen,LBPH,69.59,GRANTED
2025-11-30 19:05:40,tringuyen,LBPH,72.77,GRANTED
2025-11-30 19:05:46,tringuyen,LBPH,71.50,GRANTED
2025-11-30 19:05:49,tringuyen,LBPH,72.53,GRANTED
2025-11-30 19:05:52,tringuyen,LBPH,75.20,GRANTED
2025-11-30 19:06:02,tringuyen,LBPH,68.38,GRANTED
2025-11-30 19:06:07,tringuyen,LBPH,78.16,GRANTED
2025-11-30 19:06:10,tringuyen,LBPH,79.30,GRANTED
2025-11-30 19:06:16,tringuyen,LBPH,77.01,GRANTED
2025-11-30 19:06:19,tringuyen,LBPH,82.07,GRANTED
2025-11-30 19:06:22,tringuyen,LBPH,77.10,GRANTED
2025-11-30 19:06:25,tringuyen,LBPH,77.41,GRANTED
2025-11-30 19:06:29,tringuyen,LBPH,76.99,GRANTED
2025-11-30 19:06:32,tringuyen,LBPH,75.65,GRANTED
2025-11-30 19:06:35,tringuyen,LBPH,86.02,GRANTED
2025-11-30 19:06:43,tringuyen,LBPH,72.27,GRANTED
2025-11-30 19:06:46,tringuyen,LBPH,71.45,GRANTED
2025-11-30 19:06:49,tringuyen,LBPH,83.54,GRANTED
2025-11-30 19:06:52,tringuyen,LBPH,83.60,GRANTED
2025-11-30 19:06:53,Unknown,LBPH,105.34,DENIED
2025-11-30 19:06:55,tringuyen,LBPH,74.80,GRANTED
2025-11-30 19:06:58,Unknown,LBPH,99.26,DENIED
2025-11-30 19:07:01,Unknown,LBPH,97.70,DENIED
2025-11-30 19:07:01,tringuyen,LBPH,78.91,GRANTED
2025-11-30 19:07:04,tringuyen,LBPH,74.98,GRANTED
2025-11-30 19:07:04,Unknown,FACENET,1.00,DENIED
2025-11-30 19:07:07,Unknown,FACENET,1.00,DENIED
2025-11-30 19:07:10,Unknown,FACENET,1.00,DENIED
2025-11-30 19:07:14,Unknown,FACENET,1.00,DENIED
2025-11-30 19:07:28,Unknown,FACENET,1.00,DENIED
2025-11-30 19:08:08,Unknown,FACENET,1.00,DENIED
2025-11-30 19:08:11,Unknown,FACENET,1.00,DENIED
2025-11-30 19:08:26,Unknown,LBPH,91.42,DENIED
2025-11-30 19:08:29,Unknown,LBPH,72.37,DENIED
2025-11-30 19:08:39,tringuyen,LBPH,79.58,GRANTED
2025-11-30 19:08:49,tringuyen,LBPH,73.82,GRANTED
2025-11-30 19:08:58,Unknown,FACENET,1.00,DENIED
2025-11-30 19:09:01,Unknown,FACENET,1.00,DENIED
2025-11-30 19:09:03,tringuyen,LBPH,76.52,GRANTED
2025-11-30 19:09:06,tringuyen,LBPH,75.04,GRANTED
2025-11-30 19:09:07,Unknown,LBPH,82.24,DENIED
2025-11-30 19:09:11,Unknown,LBPH,91.87,DENIED
2025-11-30 19:09:12,tringuyen,LBPH,71.63,GRANTED
2025-11-30 20:45:32,tringuyen,LBPH,83.36,GRANTED
2025-11-30 20:45:32,Unknown,LBPH,117.73,DENIED
2025-11-30 20:45:35,tringuyen,LBPH,80.30,GRANTED
2025-11-30 20:45:35,Unknown,LBPH,122.29,DENIED
2025-11-30 20:45:41,tringuyen,LBPH,72.31,GRANTED
2025-11-30 20:45:43,Unknown,LBPH,101.97,DENIED
2025-11-30 20:45:44,tringuyen,LBPH,67.96,GRANTED
2025-11-30 20:45:47,tringuyen,LBPH,83.87,GRANTED
2025-11-30 20:45:48,Unknown,LBPH,93.22,DENIED
2025-11-30 20:45:50,tringuyen,LBPH,89.09,GRANTED
2025-11-30 20:45:51,Unknown,LBPH,90.12,DENIED
2025-11-30 20:45:53,tringuyen,LBPH,88.92,GRANTED
2025-11-30 20:45:56,Unknown,LBPH,92.28,DENIED
2025-11-30 20:45:56,tringuyen,LBPH,87.26,GRANTED
2025-11-30 20:45:59,Unknown,LBPH,95.53,DENIED
2025-11-30 20:46:01,tringuyen,LBPH,85.60,GRANTED
2025-11-30 20:46:04,tringuyen,LBPH,75.29,GRANTED
2025-11-30 20:46:07,tringuyen,LBPH,85.04,GRANTED
2025-11-30 20:46:10,tringuyen,LBPH,82.28,GRANTED
2025-11-30 20:46:11,Unknown,LBPH,94.85,DENIED
2025-11-30 20:46:14,tringuyen,LBPH,82.73,GRANTED
2025-11-30 20:46:14,Unknown,OPENFACE,1.00,DENIED
2025-11-30 20:46:17,Unknown,OPENFACE,1.00,DENIED
2025-11-30 20:46:20,Unknown,OPENFACE,1.00,DENIED
2025-11-30 20:46:23,Unknown,OPENFACE,1.00,DENIED
2025-11-30 20:46:26,Unknown,OPENFACE,1.00,DENIED
2025-11-30 20:46:29,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:31:31,minhtri,LBPH,77.60,GRANTED
2025-11-30 21:31:34,minhtri,LBPH,75.24,GRANTED
2025-11-30 21:31:38,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 21:31:42,minhtri,OPENFACE,0.27,GRANTED
2025-11-30 21:31:45,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 21:31:50,minhtri,OPENFACE,0.17,GRANTED
2025-11-30 21:31:54,minhtri,OPENFACE,0.17,GRANTED
2025-11-30 21:31:57,minhtri,OPENFACE,0.16,GRANTED
2025-11-30 21:32:00,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 21:32:03,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 21:32:08,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:32:11,minhtri,OPENFACE,0.15,GRANTED
2025-11-30 21:32:15,minhtri,OPENFACE,0.14,GRANTED
2025-11-30 21:32:19,minhtri,OPENFACE,0.17,GRANTED
2025-11-30 21:32:23,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:32:27,minhtri,OPENFACE,0.21,GRANTED
2025-11-30 21:32:31,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:32:34,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 21:32:38,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:32:43,minhtri,OPENFACE,0.15,GRANTED
2025-11-30 21:32:43,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:32:48,minhtri,OPENFACE,0.29,GRANTED
2025-11-30 21:32:52,minhtri,OPENFACE,0.33,GRANTED
2025-11-30 21:32:56,minhtri,OPENFACE,0.28,GRANTED
2025-11-30 21:32:56,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:33:00,minhtri,OPENFACE,0.42,GRANTED
2025-11-30 21:33:03,minhtri,OPENFACE,0.39,GRANTED
2025-11-30 21:33:07,minhtri,OPENFACE,0.43,GRANTED
2025-11-30 21:33:37,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:33:41,minhtri,OPENFACE,0.22,GRANTED
2025-11-30 21:33:46,minhtri,OPENFACE,0.28,GRANTED
2025-11-30 21:33:49,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:33:50,minhtri,OPENFACE,0.36,GRANTED
2025-11-30 21:33:59,minhtri,OPENFACE,0.23,GRANTED
2025-11-30 21:33:59,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:34:03,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 21:34:06,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 21:34:10,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 21:34:14,minhtri,OPENFACE,0.24,GRANTED
2025-11-30 21:34:17,minhtri,OPENFACE,0.22,GRANTED
2025-11-30 21:34:21,minhtri,OPENFACE,0.24,GRANTED
2025-11-30 21:34:24,minhtri,OPENFACE,0.23,GRANTED
2025-11-30 21:34:35,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:34:36,minhtri,OPENFACE,0.23,GRANTED
2025-11-30 21:34:38,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:34:41,minhtri,OPENFACE,0.25,GRANTED
2025-11-30 21:34:51,minhtri,OPENFACE,0.38,GRANTED
2025-11-30 21:34:54,minhtri,OPENFACE,0.23,GRANTED
2025-11-30 21:34:58,minhtri,OPENFACE,0.22,GRANTED
2025-11-30 21:35:02,minhtri,OPENFACE,0.25,GRANTED
2025-11-30 21:35:06,minhtri,OPENFACE,0.41,GRANTED
2025-11-30 21:35:09,minhtri,OPENFACE,0.35,GRANTED
2025-11-30 21:35:13,minhtri,OPENFACE,0.26,GRANTED
2025-11-30 21:35:14,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:17,minhtri,OPENFACE,0.33,GRANTED
2025-11-30 21:35:19,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:27,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:29,minhtri,OPENFACE,0.36,GRANTED
2025-11-30 21:35:31,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:34,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:36,minhtri,OPENFACE,0.26,GRANTED
2025-11-30 21:35:37,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:39,minhtri,OPENFACE,0.24,GRANTED
2025-11-30 21:35:42,minhtri,OPENFACE,0.35,GRANTED
2025-11-30 21:35:44,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:47,minhtri,OPENFACE,0.35,GRANTED
2025-11-30 21:35:48,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:51,minhtri,OPENFACE,0.34,GRANTED
2025-11-30 21:35:52,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:55,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:01,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:07,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:11,minhtri,OPENFACE,0.29,GRANTED
2025-11-30 21:36:16,minhtri,OPENFACE,0.34,GRANTED
2025-11-30 21:36:17,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:19,minhtri,OPENFACE,0.32,GRANTED
2025-11-30 21:36:24,minhtri,OPENFACE,0.24,GRANTED
2025-11-30 21:36:28,minhtri,OPENFACE,0.26,GRANTED
2025-11-30 21:36:32,minhtri,OPENFACE,0.22,GRANTED
2025-11-30 21:36:35,minhtri,OPENFACE,0.26,GRANTED
2025-11-30 21:36:37,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:38,minhtri,OPENFACE,0.31,GRANTED
2025-11-30 21:36:41,minhtri,OPENFACE,0.28,GRANTED
2025-11-30 21:36:42,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:45,minhtri,OPENFACE,0.26,GRANTED
2025-11-30 21:36:45,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:48,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:50,minhtri,OPENFACE,0.41,GRANTED
2025-11-30 21:36:53,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:36:56,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:59,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:37:01,minhtri,OPENFACE,0.27,GRANTED
2025-11-30 21:37:04,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 21:37:08,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 21:37:11,minhtri,OPENFACE,0.21,GRANTED
2025-11-30 21:37:16,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:37:22,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 22:46:02,minhtri,LBPH,71.90,GRANTED
2025-11-30 22:46:05,minhtri,LBPH,72.87,GRANTED
2025-11-30 22:46:08,minhtri,LBPH,80.56,GRANTED
2025-11-30 22:46:11,minhtri,OPENFACE,0.27,GRANTED
2025-11-30 22:46:15,minhtri,OPENFACE,0.21,GRANTED
2025-11-30 22:46:18,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 22:46:22,minhtri,OPENFACE,0.17,GRANTED
2025-11-30 22:46:25,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 22:46:28,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 22:46:32,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 22:46:32,Unknown,OPENFACE,1.00,DENIED
2025-11-30 22:46:36,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 22:46:39,minhtri,OPENFACE,0.22,GRANTED
2025-12-02 11:26:16,Unknown,LBPH,102.12,DENIED
2025-12-02 11:26:20,minhtri,OPENFACE,0.26,GRANTED
2025-12-02 11:26:23,minhtri,OPENFACE,0.25,GRANTED
2025-12-02 11:26:26,Unknown,LBPH,99.49,DENIED
2025-12-02 11:26:29,Unknown,LBPH,96.70,DENIED
2025-12-02 11:27:46,Unknown,LBPH,100.59,DENIED
2025-12-02 11:27:49,Unknown,LBPH,101.07,DENIED
2025-12-02 11:28:24,Unknown,LBPH,91.95,DENIED
2025-12-02 11:28:24,minhtri,LBPH,88.62,GRANTED
2025-12-02 11:28:27,Unknown,LBPH,90.10,DENIED
2025-12-02 11:28:27,minhtri,LBPH,89.08,GRANTED
2025-12-02 11:28:30,Unknown,LBPH,90.68,DENIED
2025-12-02 11:28:35,Unknown,LBPH,140.42,DENIED
2025-12-02 11:28:38,minhtri,LBPH,84.16,GRANTED
2025-12-02 11:28:38,Unknown,LBPH,96.85,DENIED
2025-12-03 17:50:24,minhtri,LBPH,86.16,GRANTED
2025-12-03 17:50:24,Unknown,LBPH,103.36,DENIED
2025-12-03 17:50:27,minhtri,LBPH,88.29,GRANTED
2025-12-03 17:50:27,Unknown,OPENFACE,1.00,DENIED
2025-12-03 17:50:30,Unknown,SFACE,1.00,DENIED
2025-12-03 17:50:34,Unknown,SFACE,1.00,DENIED
2025-12-03 17:50:35,minhtri,LBPH,89.58,GRANTED
2025-12-03 17:50:37,Unknown,LBPH,90.13,DENIED
2025-12-03 17:50:38,minhtri,LBPH,88.86,GRANTED
2025-12-03 17:50:41,minhtri,LBPH,86.24,GRANTED
2025-12-03 17:50:44,minhtri,LBPH,85.71,GRANTED
2025-12-03 17:50:46,Unknown,LBPH,90.06,DENIED
2025-12-03 17:50:47,minhtri,LBPH,86.33,GRANTED
2025-12-03 18:07:04,minhtri,LBPH,84.65,GRANTED
2025-12-03 18:07:08,minhtri,OPENFACE,0.20,GRANTED
2025-12-03 18:07:11,minhtri,LBPH,84.68,GRANTED
2025-12-03 18:07:13,Unknown,LBPH,85.28,DENIED
2025-12-03 18:07:16,Unknown,LBPH,84.42,DENIED
2025-12-03 18:07:17,minhtri,LBPH,85.75,GRANTED
2025-12-03 18:07:20,minhtri,LBPH,85.13,GRANTED
2025-12-03 18:07:22,Unknown,LBPH,113.09,DENIED
2025-12-03 18:07:23,minhtri,LBPH,86.64,GRANTED
2025-12-03 18:07:26,Unknown,LBPH,92.89,DENIED
2025-12-03 18:07:26,minhtri,LBPH,90.82,GRANTED
2025-12-03 18:07:29,minhtri,LBPH,87.73,GRANTED
2025-12-03 18:07:32,minhtri,LBPH,86.33,GRANTED
2025-12-03 18:07:35,minhtri,LBPH,85.52,GRANTED
2025-12-03 18:07:37,Unknown,LBPH,128.42,DENIED
2025-12-03 18:07:38,minhtri,LBPH,85.35,GRANTED
2025-12-03 18:07:41,minhtri,LBPH,88.46,GRANTED
2025-12-03 18:07:42,Unknown,LBPH,91.25,DENIED
2025-12-03 18:07:44,minhtri,LBPH,89.60,GRANTED
2025-12-03 18:07:45,Unknown,LBPH,91.23,DENIED
2025-12-03 18:07:47,minhtri,LBPH,90.77,GRANTED
2025-12-03 18:07:48,Unknown,LBPH,91.56,DENIED
2025-12-03 18:07:50,minhtri,LBPH,89.96,GRANTED
2025-12-03 18:07:51,Unknown,LBPH,91.06,DENIED
2025-12-03 18:07:53,minhtri,LBPH,83.27,GRANTED
2025-12-03 18:07:56,minhtri,LBPH,85.62,GRANTED
2025-12-03 18:07:57,Unknown,LBPH,92.40,DENIED
2025-12-03 18:07:59,minhtri,LBPH,89.62,GRANTED
2025-12-03 18:08:00,Unknown,LBPH,92.45,DENIED
2025-12-03 18:08:03,minhtri,LBPH,90.72,GRANTED
2025-12-03 18:08:04,Unknown,LBPH,90.97,DENIED
2025-12-03 18:08:07,minhtri,LBPH,90.02,GRANTED
2025-12-03 18:08:07,Unknown,LBPH,91.81,DENIED
2025-12-03 18:08:11,minhtri,LBPH,74.47,GRANTED
2025-12-03 18:08:12,Unknown,LBPH,91.29,DENIED
2025-12-03 18:08:15,minhtri,LBPH,88.31,GRANTED
2025-12-03 18:08:16,Unknown,LBPH,92.21,DENIED
2025-12-03 18:08:18,minhtri,LBPH,89.83,GRANTED
2025-12-03 18:08:21,minhtri,LBPH,86.01,GRANTED
2025-12-03 18:08:24,minhtri,LBPH,84.13,GRANTED
2025-12-03 18:08:27,minhtri,LBPH,81.16,GRANTED
2025-12-03 18:08:30,minhtri,LBPH,86.39,GRANTED
2025-12-03 18:08:32,Unknown,LBPH,95.35,DENIED
2025-12-03 18:08:34,minhtri,LBPH,88.25,GRANTED
2025-12-03 18:08:37,minhtri,LBPH,88.72,GRANTED
2025-12-03 18:08:38,Unknown,LBPH,91.72,DENIED
2025-12-03 18:08:40,minhtri,LBPH,90.79,GRANTED
2025-12-03 18:08:41,Unknown,LBPH,114.30,DENIED
2025-12-03 18:08:44,minhtri,LBPH,90.52,GRANTED
2025-12-03 18:08:47,minhtri,LBPH,88.45,GRANTED
2025-12-03 18:08:50,minhtri,LBPH,88.12,GRANTED
2025-12-03 18:08:52,Unknown,LBPH,92.51,DENIED
2025-12-03 18:08:54,minhtri,LBPH,90.69,GRANTED
2025-12-03 18:08:55,Unknown,LBPH,91.08,DENIED
2025-12-03 18:08:57,minhtri,LBPH,88.28,GRANTED
2025-12-03 18:09:19,minhtri,LBPH,77.77,GRANTED
2025-12-03 18:09:30,minhtri,LBPH,76.10,GRANTED
2025-12-03 18:09:31,Unknown,LBPH,91.42,DENIED
2025-12-03 18:09:33,minhtri,LBPH,88.73,GRANTED
2025-12-03 18:11:21,minhtri,LBPH,84.39,GRANTED
2025-12-03 18:11:22,Unknown,LBPH,114.88,DENIED
2025-12-03 18:11:24,minhtri,LBPH,88.98,GRANTED
2025-12-03 18:11:27,minhtri,LBPH,87.67,GRANTED
2025-12-03 18:11:28,Unknown,LBPH,92.54,DENIED
2025-12-03 18:11:30,minhtri,LBPH,89.21,GRANTED
2025-12-03 18:11:33,minhtri,LBPH,88.40,GRANTED
2025-12-03 18:11:36,Unknown,LBPH,91.26,DENIED
2025-12-03 18:11:36,minhtri,LBPH,86.82,GRANTED
2025-12-03 18:11:39,minhtri,LBPH,87.48,GRANTED
2025-12-03 18:17:02,minhtri,LBPH,88.47,GRANTED
2025-12-03 18:17:05,minhtri,LBPH,87.57,GRANTED
2025-12-03 18:17:06,Unknown,LBPH,90.43,DENIED
2025-12-03 18:17:08,minhtri,LBPH,89.23,GRANTED
2025-12-03 18:17:09,Unknown,LBPH,91.03,DENIED
2025-12-03 18:17:12,minhtri,LBPH,89.67,GRANTED
2025-12-03 18:17:12,Unknown,LBPH,90.09,DENIED
2025-12-03 18:17:15,minhtri,LBPH,89.27,GRANTED
2025-12-03 18:17:15,Unknown,LBPH,90.22,DENIED
2025-12-03 18:17:18,minhtri,OPENFACE,0.29,GRANTED
2025-12-03 18:17:20,Unknown,LBPH,90.45,DENIED
2025-12-03 18:17:22,minhtri,OPENFACE,0.33,GRANTED
2025-12-03 18:17:26,minhtri,OPENFACE,0.25,GRANTED
2025-12-03 18:17:29,Unknown,OPENFACE,1.00,DENIED
2025-12-03 18:22:16,minhtri,LBPH,85.08,GRANTED
2025-12-03 18:22:16,Unknown,LBPH,100.20,DENIED
2025-12-03 18:22:19,Unknown,SFACE,1.00,DENIED
2025-12-03 18:22:22,Unknown,SFACE,1.00,DENIED
2025-12-03 18:22:25,Unknown,SFACE,1.00,DENIED
2025-12-03 18:22:28,Unknown,SFACE,1.00,DENIED
2025-12-03 18:22:31,Unknown,SFACE,1.00,DENIED
2025-12-03 18:22:34,Unknown,SFACE,1.00,DENIED
2025-12-03 18:22:37,minhtri,OPENFACE,0.18,GRANTED
2025-12-03 18:22:41,minhtri,OPENFACE,0.21,GRANTED
2025-12-03 18:22:45,minhtri,OPENFACE,0.20,GRANTED
2025-12-03 18:22:49,minhtri,OPENFACE,0.21,GRANTED
2025-12-03 18:22:53,minhtri,OPENFACE,0.21,GRANTED
2025-12-03 18:22:56,Unknown,SFACE,1.00,DENIED
2025-12-03 18:22:59,Unknown,SFACE,1.00,DENIED
2025-12-03 18:23:02,Unknown,SFACE,1.00,DENIED
2025-12-03 18:23:05,Unknown,SFACE,1.00,DENIED
2025-12-03 18:23:08,Unknown,SFACE,1.00,DENIED
2025-12-03 18:23:11,Unknown,SFACE,1.00,DENIED
2025-12-03 18:23:14,Unknown,SFACE,1.00,DENIED
2025-12-03 18:23:17,Unknown,SFACE,1.00,DENIED
2025-12-03 18:29:20,Unknown,LBPH,100.53,DENIED
2025-12-03 18:29:20,minhtri,LBPH,85.13,GRANTED
2025-12-03 18:29:25,minhtri,OPENFACE,0.20,GRANTED
2025-12-03 18:29:28,minhtri,SFACE,0.07,GRANTED
2025-12-03 18:29:31,minhtri,SFACE,-0.01,GRANTED
2025-12-03 18:29:34,minhtri,SFACE,-0.06,GRANTED
2025-12-03 18:29:37,minhtri,SFACE,0.01,GRANTED
2025-12-03 18:29:38,Unknown,OPENFACE,1.00,DENIED
2025-12-03 18:29:41,minhtri,OPENFACE,0.18,GRANTED
2025-12-03 18:29:44,minhtri,SFACE,0.01,GRANTED
2025-12-03 18:29:47,minhtri,SFACE,-0.04,GRANTED
2025-12-11 16:20:34,Unknown,LBPH,109.80,DENIED
2025-12-11 16:21:36,Unknown,LBPH,90.50,DENIED
2025-12-11 16:23:17,Unknown,LBPH,96.41,DENIED
2025-12-11 16:27:23,Unknown,LBPH,105.39,DENIED
2025-12-11 16:27:25,minhtri,LBPH,86.68,GRANTED
2025-12-11 16:27:26,Unknown,LBPH,97.19,DENIED
2025-12-11 16:27:29,minhtri,LBPH,88.65,GRANTED
2025-12-11 16:27:29,Unknown,LBPH,96.10,DENIED
2025-12-11 16:27:33,Unknown,LBPH,96.26,DENIED
2025-12-11 16:27:33,minhtri,LBPH,89.05,GRANTED
2025-12-11 16:27:36,Unknown,LBPH,95.69,DENIED
2025-12-11 16:27:37,minhtri,LBPH,89.46,GRANTED
2025-12-11 16:27:39,Unknown,OPENFACE,1.00,DENIED
2025-12-11 16:27:40,minhtri,OPENFACE,0.23,GRANTED
2025-12-11 16:27:42,Unknown,OPENFACE,1.00,DENIED
2025-12-11 16:27:43,minhtri,OPENFACE,0.22,GRANTED
2025-12-11 16:27:46,Unknown,OPENFACE,1.00,DENIED
2025-12-11 16:27:47,minhtri,OPENFACE,0.24,GRANTED
2025-12-11 16:27:50,minhtri,OPENFACE,0.23,GRANTED
2025-12-11 16:27:50,Unknown,OPENFACE,1.00,DENIED
2025-12-11 16:27:53,minhtri,OPENFACE,0.22,GRANTED
2025-12-11 16:27:53,Unknown,OPENFACE,1.00,DENIED
2025-12-11 16:27:57,minhtri,OPENFACE,0.24,GRANTED
2025-12-11 16:27:57,Unknown,OPENFACE,1.00,DENIED
2025-12-11 16:28:00,minhtri,OPENFACE,0.22,GRANTED
2025-12-11 16:28:03,minhtri,OPENFACE,0.22,GRANTED
2025-12-11 16:28:06,minhtri,OPENFACE,0.22,GRANTED
2025-12-11 16:28:09,minhtri,OPENFACE,0.22,GRANTED
2025-12-11 16:28:11,Unknown,SFACE,1.00,DENIED
2025-12-11 16:28:14,Unknown,SFACE,1.00,DENIED
2025-12-11 16:28:17,Unknown,SFACE,1.00,DENIED
2025-12-11 16:28:20,Unknown,SFACE,1.00,DENIED
